loss_act,reward
10.101871490478516,-1493.4029089522278
23.521940231323242,-1280.1728191858274
7.024704456329346,-1473.7500593071456
0.28214946389198303,-1249.0077144809138
1.2677264213562012,-1384.5916209570967
-0.2936991751194,-1267.2123566063008
3.205960273742676,-1511.3831607833424
0.12775138020515442,-1498.8573849185893
-3.8909451961517334,-1673.7358336041398
0.4370860457420349,-1865.9330529850026
19.977624893188477,-1489.227369703739
-0.034534525126218796,-1505.6771982384694
-0.39651772379875183,-1558.063151304429
0.36345919966697693,-1578.1181325638195
2.6982996463775635,-1506.945192897235
0.8716481328010559,-1205.4419507375883
-0.03438926860690117,-1579.08068482285
1.104461908340454,-1492.9796833558667
0.36852455139160156,-1508.9087678677854
0.046268757432699203,-1510.5929276189504
-0.3497989773750305,-1170.5863468775879
-0.19484297931194305,-1367.6484607691195
0.17564527690410614,-1496.19891158281
0.5059414505958557,-1373.8483305982286
-0.4968397617340088,-1423.261323284143
0.03336360305547714,-1307.0012969635522
-0.3297310173511505,-1341.7710988968654
0.7294736504554749,-1890.7029366506968
-0.3540180027484894,-1585.3911363409588
0.21445108950138092,-1312.4304157227934
0.07493382692337036,-1609.0505118937494
1.2213507890701294,-1483.5507085615359
0.2912714183330536,-1496.6634734876613
0.4881245791912079,-1329.664369073795
0.40020713210105896,-1303.3242162425854
-0.5328181982040405,-1266.3156980902206
-0.14758040010929108,-1499.1373249849526
0.14239028096199036,-1326.8871414477742
-0.2399887889623642,-1379.775361628313
-0.7079769372940063,-1572.1767282714363
-0.1613941192626953,-1193.3792680183676
-0.0032961289398372173,-1347.508960969771
0.11257851868867874,-1406.0676408654763
-0.3054472804069519,-1483.0492017140834
-0.04265559837222099,-1497.8071484549016
-0.13639958202838898,-1473.8858008149132
-0.047731515020132065,-1249.277333347704
0.07415824383497238,-1731.2556166127663
0.04046934098005295,-1735.9374706104718
0.1994263082742691,-1495.434215261003
-0.07417761534452438,-1210.599002402887
0.2786528170108795,-1251.7633477385746
0.48253270983695984,-1248.1120485951972
-1.0208706855773926,-1774.5006256587667
0.9855718016624451,-1204.6460155810275
0.11709903180599213,-1877.7938108677986
0.12218759208917618,-1184.4469492550375
-0.4375250041484833,-1450.0297331324532
0.04294540360569954,-1549.8797572815636
1.3880152702331543,-1490.5317263785648
0.25015002489089966,-1463.7679536690514
0.26922857761383057,-1452.7876134022279
-0.04607684165239334,-1484.1935977727208
-0.048209916800260544,-1211.8215038660621
-0.28954237699508667,-1746.4952235496214
1.1198737621307373,-1591.8523066396633
0.031806059181690216,-1189.7109206022305
-0.07710223644971848,-1467.7752294323893
-0.03838687390089035,-1500.2079088355197
0.0452667735517025,-1537.081974184378
