loss_q_net1,loss_q_net2,reward,act loss
0.0,0.0,-1339.109342631853,0.0
0.0,0.0,-1766.4320555625293,0.0
0.0,0.0,-1384.413312146683,0.0
0.0,0.0,-1070.7732689809684,0.0
0.0,0.0,-1902.0560526293568,0.0
14.296106338500977,10.096817970275879,-1832.241732714884,24.612062454223633
4.031865119934082,2.4018001556396484,-1484.1190827764938,48.10643768310547
23.208499908447266,24.06682014465332,-1441.5287525360027,67.2998275756836
9.823030471801758,6.470083236694336,-1430.0023910931798,86.77446746826172
10.07901382446289,5.7451910972595215,-1351.196574746667,88.84296417236328
4.2546515464782715,3.0164313316345215,-1345.817633690226,96.25666046142578
2.634460210800171,8.480148315429688,-1151.9174651029186,102.32605743408203
4.002408027648926,3.7055916786193848,-1172.8468418130376,113.02210998535156
2.7688941955566406,2.595158576965332,-1181.5506537758388,115.46033477783203
2.8133411407470703,3.249722719192505,-1073.9735366234165,113.87242889404297
3.371962785720825,3.4206628799438477,-1282.107021466028,108.21147155761719
3.4999334812164307,3.095559597015381,-998.5228397826799,110.54242706298828
1.8370598554611206,1.6082749366760254,-1201.519604263656,111.71099090576172
5.346834659576416,6.081875801086426,-1190.0317876357383,113.52326202392578
4.854537487030029,5.304388523101807,-1286.2581006424944,112.17534637451172
254.33505249023438,251.5221710205078,-1183.4726960887028,112.20428466796875
2.658813953399658,1.8556687831878662,-1315.5089485639726,114.43541717529297
267.97027587890625,266.7734375,-1176.6255068218293,115.52711486816406
229.6471405029297,226.6935577392578,-1243.2850438161188,111.549560546875
1.708004117012024,2.9353365898132324,-1327.5574852096522,112.99785614013672
244.2022247314453,241.28988647460938,-1299.3703551227359,117.17273712158203
3.43145489692688,3.616154193878174,-1464.0554895207117,112.01813507080078
2.0137991905212402,2.4694740772247314,-1416.8360109754137,116.92969512939453
1.6706311702728271,4.309500694274902,-1214.3327861809616,118.78480529785156
5.383623123168945,6.373322010040283,-1067.0850461001205,116.75294494628906
5.222699165344238,7.054895401000977,-1311.6769073765408,116.36143493652344
3.459942102432251,2.9368391036987305,-1134.9616796383702,119.82966613769531
1.9536123275756836,3.8612635135650635,-1248.9126215012093,116.23888397216797
8.410759925842285,9.09549331665039,-1317.6232007593653,114.70269012451172
2.437335252761841,1.4574693441390991,-1586.9018379661486,116.98484802246094
2.0726375579833984,2.6390652656555176,-1505.3739320786106,123.28888702392578
2.196352958679199,1.9212836027145386,-1316.0754956305202,121.68085479736328
2.211507558822632,2.8580007553100586,-1071.455659850538,119.21156311035156
231.33218383789062,232.39002990722656,-1562.002506136371,120.16709899902344
251.92718505859375,250.52049255371094,-1498.35918583608,119.08100891113281
2.3238883018493652,1.8811014890670776,-1516.2572016705783,120.83644104003906
250.25872802734375,248.19482421875,-1314.1180723516193,114.96074676513672
2.5026118755340576,2.5665125846862793,-1266.7839067544478,121.14994812011719
4.016066551208496,4.006529808044434,-1480.3849283023944,118.14762878417969
2.6559834480285645,3.9884390830993652,-1110.1690875483057,121.21369171142578
143.30398559570312,146.42539978027344,-1184.6954988231817,123.55620574951172
145.29075622558594,146.92196655273438,-1303.5025383518407,117.37571716308594
1.9703900814056396,1.5777508020401,-1052.73996965672,117.73761749267578
165.5709686279297,164.30628967285156,-1210.7180135553583,116.28411865234375
1.6758530139923096,2.466102123260498,-1360.9129379165133,123.96180725097656
4.044493198394775,2.505920171737671,-1192.2873610374484,118.2708740234375
6.710677146911621,8.838683128356934,-1187.7899764930637,118.10454559326172
3.5464935302734375,3.2575016021728516,-1240.1570608433958,117.80131530761719
4.428493022918701,4.300252437591553,-1395.2203712592204,119.36468505859375
3.8407392501831055,3.2702784538269043,-1081.8844801875582,119.70896911621094
2.0009450912475586,1.7672340869903564,-1209.2690724240763,117.86810302734375
169.2617950439453,170.80332946777344,-1245.2901145008123,121.64250946044922
322.1577453613281,320.70184326171875,-1301.7345185297606,116.12164306640625
114.90106201171875,113.1797866821289,-1403.9960873844127,114.14198303222656
240.40589904785156,238.3994598388672,-1049.2119843932385,118.13727569580078
2.2778913974761963,1.4105091094970703,-1457.2449836818769,119.1910400390625
11.172647476196289,11.026384353637695,-1194.672369478787,120.33319854736328
5.6031107902526855,3.819434642791748,-1235.9072163597893,121.99955749511719
1.5556762218475342,1.6136448383331299,-1329.7369809149643,122.11345672607422
2.237213373184204,2.795604705810547,-1367.2854104286096,117.51256561279297
3.220402956008911,3.0274734497070312,-1354.6675247633204,121.43693542480469
2.3782050609588623,4.02386999130249,-1185.9746897855346,121.84185028076172
284.4292297363281,286.9144592285156,-1211.688241030201,121.29347229003906
283.4031066894531,286.2850646972656,-1327.6811373757557,117.36298370361328
1.4818940162658691,1.2080265283584595,-1317.9482960467988,118.38628387451172
7.118045330047607,6.421117782592773,-1146.8231403544721,114.90503692626953
3.970768928527832,4.015036582946777,-1135.4437394817664,115.69048309326172
1.9056079387664795,1.3594597578048706,-1209.1031908527077,123.08836364746094
2.280381679534912,2.4338533878326416,-1215.8371641466465,120.3343505859375
4.006757736206055,2.4736530780792236,-1293.3019313926952,117.77110290527344
297.9991455078125,294.57305908203125,-1321.7541891813817,113.86405944824219
4.425080299377441,3.341157913208008,-1272.929790525204,118.00635528564453
4.701399326324463,4.643233776092529,-1320.6626019357777,116.44612121582031
1.2410855293273926,1.7830349206924438,-1291.9739266276304,119.76549530029297
1.5345120429992676,1.3465893268585205,-1180.076345762072,120.64970397949219
137.83352661132812,137.5684356689453,-1132.7939409793335,119.57878875732422
143.39508056640625,143.00733947753906,-1187.2255331264707,119.71575164794922
2.321890354156494,2.1806178092956543,-1130.0352882439806,118.83164978027344
1.2634443044662476,0.8487280607223511,-1163.1505718541418,118.19038391113281
1.580949306488037,1.14076828956604,-1211.044950473266,116.5093994140625
240.92140197753906,241.00509643554688,-1299.4150644885258,116.73463439941406
